Shortname,Name,Paper,solvus,solidus,liquidus,Index,Co,Ni,Al,Cr,W,Ti,Ta,Nb,V,Mo,C,Zr,B,Ir,Re,Si,Fe,Y,Hf,Ge,Mn,Sc,Ru,Ce,Nd
Co-30.Ni-8.3Al-1.7Ti,1.7Ti,"Gao, Q. et al. Effects of alloying elements on microstructure and mechanical properties of Co–Ni–Al–Ti superalloy. Mater. Sci. Eng. A 779, (2020).",766,1397,1442,210,60,30,8.3,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.Ni-7.5Al-2.5Ti-2.Mo,2Mo,"Gao, Q. et al. Effects of alloying elements on microstructure and mechanical properties of Co–Ni–Al–Ti superalloy. Mater. Sci. Eng. A 779, (2020).",732,1419,1454,209,58,30,7.5,0,0,2.5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.Ni-7.5Al-2.Cr-2.5Ti,2Cr,"Gao, Q. et al. Effects of alloying elements on microstructure and mechanical properties of Co–Ni–Al–Ti superalloy. Mater. Sci. Eng. A 779, (2020).",730,1400,1445,208,58,30,7.5,2,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-20.4Ni-9.8Al-7.4W-2.7Ti-0.4C-0.1B,9.8Al-7.4W-2.7Ti-20.4Ni-0.4C- 0.1B,"Homepage, J., Sani, S. A., Arabi, H., Kheirandish, S. & Ebrahimi, G. R. Iranian Journal of Materials Forming Flow Stress Modeling in a ?-? / Cobalt Base Superalloy by Using the Hyperbolic Sine Equation and ANN Method. Number 1 Iran. J. Mater. Form. 6, 44–55 (2019).",1079,,,212,59.2,20.4,9.8,0,7.4,2.7,0,0,0,0,0.4,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
Co-12.Ti-4.Mo,+4Mo,"Im, H. J. et al. Elemental partitioning and site-occupancy in ?/?? forming Co-Ti-Mo and Co-Ti-Cr alloys. Scr. Mater. 154, 159–162 (2018).",1119,1193,1290,214,84,0,0,0,0,12,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-4.Cr-12.Ti,+4Cr,"Im, H. J. et al. Elemental partitioning and site-occupancy in ?/?? forming Co-Ti-Mo and Co-Ti-Cr alloys. Scr. Mater. 154, 159–162 (2018).",1062,1205,1321,215,84,0,0,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-12.Ti,Co-12Ti,"Im, H. J. et al. Elemental partitioning and site-occupancy in ?/?? forming Co-Ti-Mo and Co-Ti-Cr alloys. Scr. Mater. 154, 159–162 (2018).",1005,1219,1318,213,88,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-29.Ni-10.Al-17.Cr-3.W-1.Ta,1.3Co-17Cr-10Al,"Ismail, F. B. et al. Alloying effects on oxidation mechanisms in polycrystalline Co–Ni base superalloys. Corros. Sci. 116, 44–52 (2017).",1010,,,219,40,29,10,17,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-35.Ni-10.Al-15.Cr-3.W-1.Ta,15Cr-10Al,"Ismail, F. B. et al. Alloying effects on oxidation mechanisms in polycrystalline Co–Ni base superalloys. Corros. Sci. 116, 44–52 (2017).",1000,,,218,36,35,10,15,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-33.5Ni-12.Al-17.Cr-3.W-1.Ta,17Cr-12Al,"Ismail, F. B. et al. Alloying effects on oxidation mechanisms in polycrystalline Co–Ni base superalloys. Corros. Sci. 116, 44–52 (2017).",990,,,217,33.5,33.5,12,17,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-29.6Ni-11.2Al-6.5W-2.8Ta,CoNi-E,"Jackson, R. W., Titus, M. S., Begley, M. R. & Pollock, T. M. Thermal expansion behavior of new Co-based alloys and implications for coatings. Surf. Coatings Technol. 289, 61–68 (2016).",1182,,1396,"reported T_m, assuming that means liquidus",49.9,29.6,11.2,0,6.5,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-6.7Al-8.1W-6.2Ti,Quat-Ti,"Jackson, R. W., Titus, M. S., Begley, M. R. & Pollock, T. M. Thermal expansion behavior of new Co-based alloys and implications for coatings. Surf. Coatings Technol. 289, 61–68 (2016).",1163,,1231,"reported T_m, assuming that means liquidus",79,0,6.7,0,8.1,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-29.2Ni-9.8Al-6.4Cr-6.3W-2.4Ta,CoNi-A,"Jackson, R. W., Titus, M. S., Begley, M. R. & Pollock, T. M. Thermal expansion behavior of new Co-based alloys and implications for coatings. Surf. Coatings Technol. 289, 61–68 (2016).",1147,,1380,"reported T_m, assuming that means liquidus",45.9,29.2,9.8,6.4,6.3,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.8Al-9.8W-2.Ta,Quat-Ta,"Jackson, R. W., Titus, M. S., Begley, M. R. & Pollock, T. M. Thermal expansion behavior of new Co-based alloys and implications for coatings. Surf. Coatings Technol. 289, 61–68 (2016).",1103,,1407,"reported T_m, assuming that means liquidus",79.4,0,8.8,0,9.8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-9.4Al-10.7W,Ternary,"Jackson, R. W., Titus, M. S., Begley, M. R. & Pollock, T. M. Thermal expansion behavior of new Co-based alloys and implications for coatings. Surf. Coatings Technol. 289, 61–68 (2016).",1039,,1447,"reported T_m, assuming that means liquidus",79.9,0,9.4,0,10.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-23.4Ni-9.5Al-1.9Cr-4.1W-1.8Ta,Co-10Al-4W-25Ni-2Ta-2Ti,"Katelun Wertz, B., Mills, M., Stephen Niezgoda, A. & Yunzhi Wang Kiran, A. D. Exploration of Phase Stability and Hot Workability of Polycrystalline Co-Al-W-Base Superalloys.",1137,1369,1421,,59.29,23.42,9.49,1.89,4.1,0,1.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.2Al-12.6W,Co-8.2Al-12.6W,"Kazantseva, N. V. et al. Mechanical and magnetic properties of alloys near the concentration range of the existence of Co3(Al,W) intermetallic compound. Phys. Met. Metallogr. 118, 432–438 (2017).",1044,,,,79.2,0,8.2,0,12.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.7Al-10.W,Co-8.7Al-10W,"Kazantseva, N. V. et al. Mechanical and magnetic properties of alloys near the concentration range of the existence of Co3(Al,W) intermetallic compound. Phys. Met. Metallogr. 118, 432–438 (2017).",1021,,,,81.3,0,8.7,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.2Al-8.5W,Co-8.2Al-8.5W,"Kazantseva, N. V. et al. Mechanical and magnetic properties of alloys near the concentration range of the existence of Co3(Al,W) intermetallic compound. Phys. Met. Metallogr. 118, 432–438 (2017).",1014,,,,83.3,0,8.2,0,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-9.Al-4.6W,Co-9Al-4.6W,"Kazantseva, N. V. et al. Mechanical and magnetic properties of alloys near the concentration range of the existence of Co3(Al,W) intermetallic compound. Phys. Met. Metallogr. 118, 432–438 (2017).",1009,,,,86.4,0,9,0,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-7.9Al-6.8W,Co-7.9Al-6.8W,"Kazantseva, N. V. et al. Mechanical and magnetic properties of alloys near the concentration range of the existence of Co3(Al,W) intermetallic compound. Phys. Met. Metallogr. 118, 432–438 (2017).",1000,,,,85.3,0,7.9,0,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-34.2Ni-10.5Al-14.8Cr-3.W-1.Ta-0.15C-0.04Zr-0.2B,V208C,"Knop, M. et al. A New Polycrystalline Co-Ni Superalloy. JOM 66, 2495–2501 (2014)",1000,,,,36.11,34.2,10.5,14.8,3,0,1,0,0,0,0.15,0.04,0.2,0,0,0,0,0,0,0,0,0,0,0,0
Co-9.4Al-9.6W,mystery-12Cr-10Al,"Knop, M., Vorontsov, V. A., Hardy, M. C. & Dye, D. High-temperature ? (FCC)/ ? ? (L1 2 ) Co-Al-W based superalloys. MATEC Web Conf. 14, 18003 (2014).",1010,,,,81,0,9.4,0,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-5.6Al-5.8W-6.6Ti,6.6Ti,"Kobayashi, S., Tsukamoto, Y. & Takasugi, T. Phase equilibria in the Co-rich Co-Al-W-Ti quaternary system. Intermetallics 19, 1908–1912 (2011).",1200,1304,1400,,82,0,5.6,0,5.8,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-1.9Al-1.9W-13.2Ti,13.2Ti,"Kobayashi, S., Tsukamoto, Y. & Takasugi, T. Phase equilibria in the Co-rich Co-Al-W-Ti quaternary system. Intermetallics 19, 1908–1912 (2011).",1159,1200,1298,,83,0,1.9,0,1.9,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-3.8Al-3.8W-9.9Ti,9.9T,"Kobayashi, S., Tsukamoto, Y. & Takasugi, T. Phase equilibria in the Co-rich Co-Al-W-Ti quaternary system. Intermetallics 19, 1908–1912 (2011).",1157,1241,1356,,82.5,0,3.8,0,3.8,9.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-16.5Ti,16.5Ti,"Kobayashi, S., Tsukamoto, Y. & Takasugi, T. Phase equilibria in the Co-rich Co-Al-W-Ti quaternary system. Intermetallics 19, 1908–1912 (2011).",1156,1156,1175,,83.5,0,0,0,0,16.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-7.5Al-7.7W-3.3Ti,3.3Ti,"Kobayashi, S., Tsukamoto, Y. & Takasugi, T. Phase equilibria in the Co-rich Co-Al-W-Ti quaternary system. Intermetallics 19, 1908–1912 (2011).",1118,1378,1441,,81.5,0,7.5,0,7.7,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-9.4Al-9.6W,Base,"Kobayashi, S., Tsukamoto, Y. & Takasugi, T. Phase equilibria in the Co-rich Co-Al-W-Ti quaternary system. Intermetallics 19, 1908–1912 (2011).",1025,1455,1480,,81,0,9.4,0,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-20.3Ni-8.5Al-7.1W-2.Ti-1.5Ta-1.4Re,ERBOCo-Re0,"Kolb, M. et al. Influence of rhenium on ??-strengthened cobalt-base superalloys. J. Mater. Res. 32, 2551–2559 (2017).",1150,,,,59.2,20.3,8.5,0,7.1,2,1.5,0,0,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0
Co-20.1Ni-8.7Al-7.3W-2.Ti-1.5Ta,ERBOCo-Re1,"Kolb, M. et al. Influence of rhenium on ??-strengthened cobalt-base superalloys. J. Mater. Res. 32, 2551–2559 (2017).",1150,,,,60.4,20.1,8.7,0,7.3,2,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.Ni-9.Al-7.W-3.Ti-2.Ta-0.1B,L22,"Lass, E. A. Application of Computational Thermodynamics to the Design of a Co-Ni-Based ??-Strengthened Superalloy. Metall. Mater. Trans. A Phys. Metall. Mater. Sci. 48, 2443–2459 (2017).",1218,1359,1411,,48.9,30,9,0,7,3,2,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
Co-10.5Al-7.W-4.Ti-2.5Ta,Co-30Ni-10.5Al-4Ti-7W-2.5Ta,"Lass, E. A. Application of Computational Thermodynamics to the Design of a Co-Ni-Based ??-Strengthened Superalloy. Metall. Mater. Trans. A Phys. Metall. Mater. Sci. 48, 2443–2459 (2017).",1195,1298,1374,,76,0,10.5,0,7,4,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-11.Al-5.5W-4.Ti-2.5Ta,Co-30Ni-11Al-4Ti-5.5W-2.5Ta,"Lass, E. A. Application of Computational Thermodynamics to the Design of a Co-Ni-Based ??-Strengthened Superalloy. Metall. Mater. Trans. A Phys. Metall. Mater. Sci. 48, 2443–2459 (2017).",1194,1304,1374,,77,0,11,0,5.5,4,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-11.5Al-3.5W-4.Ti-2.5Ta,Co-30Ni-11.5Al-4Ti-.55W-2.5Ta,"Lass, E. A. Application of Computational Thermodynamics to the Design of a Co-Ni-Based ??-Strengthened Superalloy. Metall. Mater. Trans. A Phys. Metall. Mater. Sci. 48, 2443–2459 (2017).",1188,1298,1371,,78.5,0,11.5,0,3.5,4,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-10.5Al-7.5W-2.Ti-25.Ta,Co-30Ni-10.5Al-2Ti-7.5W-2.5Ta,"Lass, E. A. Application of Computational Thermodynamics to the Design of a Co-Ni-Based ??-Strengthened Superalloy. Metall. Mater. Trans. A Phys. Metall. Mater. Sci. 48, 2443–2459 (2017).",1135,1336,1404,,55,0,10.5,0,7.5,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-11.Al-5.5W-2.Ti-2.5Ta,Co-30Ni-11Al-2Ti-5.5W-2.5Ta,"Lass, E. A. Application of Computational Thermodynamics to the Design of a Co-Ni-Based ??-Strengthened Superalloy. Metall. Mater. Trans. A Phys. Metall. Mater. Sci. 48, 2443–2459 (2017).",1126,1337,1403,,79,0,11,0,5.5,2,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-7.Al-5.W-4.Ti-2.Ta,Co-30Ni-7Al-4Ti-5W-2Ta,"Lass, E. A. Application of Computational Thermodynamics to the Design of a Co-Ni-Based ??-Strengthened Superalloy. Metall. Mater. Trans. A Phys. Metall. Mater. Sci. 48, 2443–2459 (2017).",1088,1355,1403,,82,0,7,0,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-19.6Ni-10.2Al-7.W-0.3Si,Si05,"Lass, E. A. The effects of Fe and Si on the phase equilibria in a ??-strengthened Co–Al–W-based superalloy. J. Alloys Compd. 825, (2020).",975,1404,1432,,62.9,19.6,10.2,0,7,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0
Co-19.5Ni-10.2Al-7.1W,Base,"Lass, E. A. The effects of Fe and Si on the phase equilibria in a ??-strengthened Co–Al–W-based superalloy. J. Alloys Compd. 825, (2020).",974,1417,1439,,63.2,19.5,10.2,0,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-19.6Ni-10.Al-6.9W-1.Si,Si1,"Lass, E. A. The effects of Fe and Si on the phase equilibria in a ??-strengthened Co–Al–W-based superalloy. J. Alloys Compd. 825, (2020).",973,1390,1424,,62.5,19.6,10,0,6.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Co-19.8Ni-10.2Al-6.7W-1.8Si,Si2,"Lass, E. A. The effects of Fe and Si on the phase equilibria in a ??-strengthened Co–Al–W-based superalloy. J. Alloys Compd. 825, (2020).",966,1359,1410,,61.5,19.8,10.2,0,6.7,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0
Co-19.6Ni-5.2Fe-10.3Al-6.8W,Fe5,"Lass, E. A. The effects of Fe and Si on the phase equilibria in a ??-strengthened Co–Al–W-based superalloy. J. Alloys Compd. 825, (2020).",936,1410,1432,,58.1,19.6,10.3,0,6.8,0,0,0,0,0,0,0,0,0,0,0,5.2,0,0,0,0,0,0,0,0
Co-19.8Ni-10.3Fe-10.3Al-6.4W,Fe10,"Lass, E. A. The effects of Fe and Si on the phase equilibria in a ??-strengthened Co–Al–W-based superalloy. J. Alloys Compd. 825, (2020).",892,1403,1426,,53.2,19.8,10.3,0,6.4,0,0,0,0,0,0,0,0,0,0,0,10.3,0,0,0,0,0,0,0,0
Co-19.7Ni-15.3Fe-10.3Al-6.5W,Fe15,"Lass, E. A. The effects of Fe and Si on the phase equilibria in a ??-strengthened Co–Al–W-based superalloy. J. Alloys Compd. 825, (2020).",860,1395,1419,,48.2,19.7,10.3,0,6.5,0,0,0,0,0,0,0,0,0,0,0,15.3,0,0,0,0,0,0,0,0
Co-30.Ni-7.Al-7.W-4.Ti-1.Ta,L13,"Lass, E. A., Sauza, D. J., Dunand, D. C. & Seidman, D. N. Multicomponent ?’-strengthened Co-based superalloys with increased solvus temperatures and reduced mass densities. Acta Mater. 147, 284–295 (2018).",1167,1366,1419,,51,30,7,0,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-10.Ni-7.Al-7.W-4.Ti-1.Ta,L12,"Lass, E. A., Sauza, D. J., Dunand, D. C. & Seidman, D. N. Multicomponent ?’-strengthened Co-based superalloys with increased solvus temperatures and reduced mass densities. Acta Mater. 147, 284–295 (2018).",1134,1351,1413,,71,10,7,0,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.Ni-7.Al-2.W-4.Ti-1.Ta-1.Nb-3.Mo,L19,"Lass, E. A., Sauza, D. J., Dunand, D. C. & Seidman, D. N. Multicomponent ?’-strengthened Co-based superalloys with increased solvus temperatures and reduced mass densities. Acta Mater. 147, 284–295 (2018).",1126,1317,1385,,52,30,7,0,2,4,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.Ni-7.Al-4.Ti-1.Ta-1.Nb-5.Mo,L17,"Lass, E. A., Sauza, D. J., Dunand, D. C. & Seidman, D. N. Multicomponent ?’-strengthened Co-based superalloys with increased solvus temperatures and reduced mass densities. Acta Mater. 147, 284–295 (2018).",1105,1314,1367,,52,30,7,0,0,4,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.Ni-7.Al-4.Ti-2.Nb-5.Mo,L15,"Lass, E. A., Sauza, D. J., Dunand, D. C. & Seidman, D. N. Multicomponent ?’-strengthened Co-based superalloys with increased solvus temperatures and reduced mass densities. Acta Mater. 147, 284–295 (2018).",1082,1301,1353,,52,30,7,0,0,4,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-10.Ni-7.Al-2.W-4.Ti-1.Ta-1.Nb-3.Mo,L18,"Lass, E. A., Sauza, D. J., Dunand, D. C. & Seidman, D. N. Multicomponent ?’-strengthened Co-based superalloys with increased solvus temperatures and reduced mass densities. Acta Mater. 147, 284–295 (2018).",1076,1300,1377,,72,10,7,0,2,4,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-10.Ni-7.Al-4.Ti-1.Ta-1.Nb-5.Mo,L16,"Lass, E. A., Sauza, D. J., Dunand, D. C. & Seidman, D. N. Multicomponent ?’-strengthened Co-based superalloys with increased solvus temperatures and reduced mass densities. Acta Mater. 147, 284–295 (2018).",1033,1294,1367,,72,10,7,0,0,4,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-10.Ni-7.Al-4.Ti-2.Nb-5.Mo,L14,"Lass, E. A., Sauza, D. J., Dunand, D. C. & Seidman, D. N. Multicomponent ?’-strengthened Co-based superalloys with increased solvus temperatures and reduced mass densities. Acta Mater. 147, 284–295 (2018).",1021,1277,1360,,72,10,7,0,0,4,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-12.Ti-5.Re,Re5,"Li, L. et al. Effect of Re on microstructure and mechanical properties of ?/?? Co-Ti-based superalloys. Intermetallics 115, (2019).",1085,,1222,"reported T_m, assuming that means liquidus",83,0,0,0,0,12,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
Co-12.Ti-3.Re,Re3,"Li, L. et al. Effect of Re on microstructure and mechanical properties of ?/?? Co-Ti-based superalloys. Intermetallics 115, (2019).",1073,,1214,"reported T_m, assuming that means liquidus",85,0,0,0,0,12,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Co-12.Ti-1.Re,Re1,"Li, L. et al. Effect of Re on microstructure and mechanical properties of ?/?? Co-Ti-based superalloys. Intermetallics 115, (2019).",1059,,1203,"reported T_m, assuming that means liquidus",87,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Co-30.Ni-10.7Al-4.3W-4.Ti-1.Ta,30Ni,"Li, W., Li, L., Antonov, S. & Feng, Q. Effective design of a Co-Ni-Al-W-Ta-Ti alloy with high ?? solvus temperature and microstructural stability using combined CALPHAD and experimental approaches. Mater. Des. 180, (2019).",1235,,,,50,30,10.7,0,4.3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-29.5Ni-11.2Al-3.6W-4.2Ti-0.9Ta,30Ni-B,"Li, W., Li, L., Antonov, S. & Feng, Q. Effective design of a Co-Ni-Al-W-Ta-Ti alloy with high ?? solvus temperature and microstructural stability using combined CALPHAD and experimental approaches. Mater. Des. 180, (2019).",1202,,,,50.75,29.46,11.15,0,3.61,4.18,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-29.4Ni-9.1Al-5.3W-4.1Ti-0.9Ta,30Ni-A,"Li, W., Li, L., Antonov, S. & Feng, Q. Effective design of a Co-Ni-Al-W-Ta-Ti alloy with high ?? solvus temperature and microstructural stability using combined CALPHAD and experimental approaches. Mater. Des. 180, (2019).",1196,,,,51.17,29.38,9.13,0,5.32,4.13,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-5.3Al-9.7W-4.Ti-1.Ta,0Ni,"Li, W., Li, L., Antonov, S. & Feng, Q. Effective design of a Co-Ni-Al-W-Ta-Ti alloy with high ?? solvus temperature and microstructural stability using combined CALPHAD and experimental approaches. Mater. Des. 180, (2019).",1195,,,,80,0,5.3,0,9.7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-20.Ni-9.6Al-5.4W-4.Ti-1.Ta,20Ni,"Li, W., Li, L., Antonov, S. & Feng, Q. Effective design of a Co-Ni-Al-W-Ta-Ti alloy with high ?? solvus temperature and microstructural stability using combined CALPHAD and experimental approaches. Mater. Des. 180, (2019).",1193,,,,60,20,9.6,0,5.4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-19.8Ni-9.4Al-5.4W-4.3Ti-0.9Ta,20Ni-A,"Li, W., Li, L., Antonov, S. & Feng, Q. Effective design of a Co-Ni-Al-W-Ta-Ti alloy with high ?? solvus temperature and microstructural stability using combined CALPHAD and experimental approaches. Mater. Des. 180, (2019).",1170,,,,60.34,19.8,9.35,0,5.39,4.26,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-20.2Ni-11.2Al-3.7W-4.2Ti-0.8Ta,20Ni-B,"Li, W., Li, L., Antonov, S. & Feng, Q. Effective design of a Co-Ni-Al-W-Ta-Ti alloy with high ?? solvus temperature and microstructural stability using combined CALPHAD and experimental approaches. Mater. Des. 180, (2019).",1164,,,,59.87,20.16,11.18,0,3.73,4.22,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-7.Al-8.W-4.Ti-1.Ta,base,"Li, W., Li, L., Antonov, S. & Feng, Q. Effective design of a Co-Ni-Al-W-Ta-Ti alloy with high ?? solvus temperature and microstructural stability using combined CALPHAD and experimental approaches. Mater. Des. 180, (2019).",1131,,,,80,0,7,0,8,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-10.Ni-1.3Al-13.7W-4.Ti-1.Ta,10Ni,"Li, W., Li, L., Antonov, S. & Feng, Q. Effective design of a Co-Ni-Al-W-Ta-Ti alloy with high ?? solvus temperature and microstructural stability using combined CALPHAD and experimental approaches. Mater. Des. 180, (2019).",1126,,,,70,10,1.3,0,13.7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.Ni-11.Al-5.Cr-4.W-4.Ti-1.Ta,5Cr-B,"Li, W., Li, L., Antonov, S., Lu, F. & Feng, Q. Effects of Cr and Al/W ratio on the microstructural stability, oxidation property and ?? phase nano-hardness of multi-component Co–Ni-base superalloys. J. Alloys Compd. 826, (2020).",1173,,,,45,30,11,5,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.Ni-9.Al-5.Cr-6.W-4.Ti-1.Ta,5Cr-A,"Li, W., Li, L., Antonov, S., Lu, F. & Feng, Q. Effects of Cr and Al/W ratio on the microstructural stability, oxidation property and ?? phase nano-hardness of multi-component Co–Ni-base superalloys. J. Alloys Compd. 826, (2020).",1170,,,,45,30,9,5,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.Ni-9.Al-9.Cr-6.W-4.Ti-1.Ta,9Cr-A,"Li, W., Li, L., Antonov, S., Lu, F. & Feng, Q. Effects of Cr and Al/W ratio on the microstructural stability, oxidation property and ?? phase nano-hardness of multi-component Co–Ni-base superalloys. J. Alloys Compd. 826, (2020).",1140,,,,41,30,9,9,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-9.2Al-2.5Cr-9.W-0.5C,2.5Cr,"Liu, C., Sun, Y., Wen, M., He, T. & Yu, J. Effect of Cr addition on microstructure and welding solidification cracking susceptibility of Co-Al-W based superalloys. J. Manuf. Process. (2020) doi:10.1016/j.jmapro.2020.03.049.",998.36,1420,1441,,78.8,0,9.2,2.5,9,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-9.2Al-5.Cr-9.W-0.5C,5Cr,"Liu, C., Sun, Y., Wen, M., He, T. & Yu, J. Effect of Cr addition on microstructure and welding solidification cracking susceptibility of Co-Al-W based superalloys. J. Manuf. Process. (2020) doi:10.1016/j.jmapro.2020.03.049.",972.15,1416,1434,,76.3,0,9.2,5,9,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-9.2Al-7.5Cr-9.W-0.5C,7.5cr,"Liu, C., Sun, Y., Wen, M., He, T. & Yu, J. Effect of Cr addition on microstructure and welding solidification cracking susceptibility of Co-Al-W based superalloys. J. Manuf. Process. (2020) doi:10.1016/j.jmapro.2020.03.049.",967.13,1377,1388,,73.8,0,9.2,7.5,9,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-16.Ni-9.3Al-6.Cr-3.4W-2.6Ti-2.8Ta-0.Mo-0.5Hf-0.26C-0.14B,0Mo,"Liu, J., Yu, J. J., Yang, Y. H., Zhou, Y. Z. & Sun, X. F. Effects of Mo on the evolution of microstructures and mechanical properties in Co-Al-W base superalloys. Mater. Sci. Eng. A 745, 404–410 (2019).",1103,,1366,,58.94573616,16.01641243,9.290650997,6.026433408,3.408947253,2.614412678,2.770713956,0,0,0,0.260886214,0,0.139138027,0,0,0,0,0,0.526668886,0,0,0,0,0,0
