Shortname,Name,Paper,Yield Stress,Temperature C,Strain rate /s,Compression/Tension,Notes,Index,Co,Ni,Al,Cr,W,Ti,Ta,Nb,V,Mo,C,Zr,B,Ir,Re,Si,Fe,Y,Hf,Ge,Mn,Sc,Ru,Ce,Nd
Co-4.2Ti-12.1V,CVT-1,"Liu, X. et al. Effects of Nb and W additions on the microstructures and mechanical properties of novel ?/?’ Co-V-Ti-based superalloys. Metals (Basel). 8, (2018).",501,700,0.0001,1,compression,291,83.7,0,0,0,0,4.2,0,0,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-4.1Ti-2.2Nb-10.1V,CVTN,"Liu, X. et al. Effects of Nb and W additions on the microstructures and mechanical properties of novel ?/?’ Co-V-Ti-based superalloys. Metals (Basel). 8, (2018).",501,600,0.0001,1,compression,292,83.6,0,0,0,0,4.1,0,2.2,10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-2.Ni-5.Ti-15.V,Co-5Ti-15V-2Ni,"Ruan, J. J. et al. Novel Co-Ti-V-base superalloys reinforced by L12-ordered ?? phase. Intermetallics 92, 126–132 (2018).",501,600,0.0001,1,compression,442,78,2,0,0,0,5,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.9Al-6.9W-0.02B,Co-8.9Al-6.9W-0.02B,"Shinagawa, K., Omori, T., Oikawa, K., Kainuma, R. & Ishida, K. Ductility enhancement by boron addition in Co-Al-W high-temperature alloys. Scr. Mater. 61, 612–615 (2009).",501,25,0.0002,1,compression,483,84.18,0,8.9,0,6.9,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0
Co-9.Al-9.W-2.Ta,Co–9Al–9W-2Ta,"Suzuki, A., DeNolf, G. C. & Pollock, T. M. Flow stress anomalies in ?/?? two-phase Co-Al-W-base alloys. Scr. Mater. 56, 385–388 (2007).",501,700,0.0001,1,compression,503,80,0,9,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.8Ni-9.2Al-5.1W-4.1Ti-1.Ta,Co-30Ni,"Qu, S. et al. Microstructural evolution and compression property of a novel ??-strengthened directionally solidified CoNi-base superalloy. Mater. Sci. Eng. A 761, (2019).",500,650,0.0001,1,compression,412,49.82,30.83,9.16,0,5.09,4.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-9.2Al-9.5W,Co-9.2Al-9.5W,"Shinagawa, K., Omori, T., Oikawa, K., Kainuma, R. & Ishida, K. Ductility enhancement by boron addition in Co-Al-W high-temperature alloys. Scr. Mater. 61, 612–615 (2009).",499,760,0.0002,1,compression,488,81.3,0,9.2,0,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.8Al-9.8W-2.Ta,2Ta,"Suzuki, A. & Pollock, T. M. High-temperature strength and deformation of ?/?? two-phase Co-Al-W-base alloys. Acta Mater. 56, 1288–1297 (2008).",499,695,0.0001,1,compression,222,79.4,0,8.8,0,9.8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.Ni-10.Al-10.Cr-2.Nb-5.Mo,2Nb10Cr,"Baler, N., Pandey, P., Singh, M. P., Makineni, S. K. & Chattopadhyay, K. Effects of Ti and Cr Additions in a Co–Ni–Al–Mo–Nb-Based Superalloy. in 929–936 (2020). doi:10.1007/978-3-030-51834-9_91.",498.71,870,0.001,1,,780,43,30,10,10,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-4.1Ti-2.2Nb-10.1V,CVTN,"Liu, X. et al. Effects of Nb and W additions on the microstructures and mechanical properties of novel ?/?’ Co-V-Ti-based superalloys. Metals (Basel). 8, (2018).",498,900,0.0001,1,compression,292,83.6,0,0,0,0,4.1,0,2.2,10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-31.2Ni-9.5Al-7.2W-2.8Ti-1.8Ta,CoNi-2,"Fan, Z. et al. The temperature dependence of high-temperature strength and deformation mechanism in a single crystal CoNi-base superalloy. Mater. Sci. Eng. A 735, 114–120 (2018).",495,500,0.0001,1,"compression, [001]",186,47.5,31.2,9.5,0,7.2,2.8,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-2.Ta-12.V,Co-12V-2Ta,"Ruan, J. et al. Accelerated design of novel W-free high-strength Co-base superalloys with extremely wide ?/?? region by machine learning and CALPHAD methods. Acta Mater. 186, 425–433 (2020).",495,800,0.0001,1,compression,437,86,0,0,0,0,0,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-9.3Al-10.4W-0.02B,Co-9.3Al-10.4W-0.02B,"Shinagawa, K., Omori, T., Oikawa, K., Kainuma, R. & Ishida, K. Ductility enhancement by boron addition in Co-Al-W high-temperature alloys. Scr. Mater. 61, 612–615 (2009).",495,650,0.0002,1,compression,487,80.28,0,9.3,0,10.4,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0
Co-10.2Ni-8.1Al-8.9W-0.Ti,10Ni-9A-9W-0Ti,"Bocchini, P. J. (2015). Microstructure and Mechanical Properties in Gamma(face-centered cubic) + Gamma Prime(L1 2 ) Precipitation-Strengthened Cobalt-based Superalloys.",493,750,0.0001,1,,71,72.8,10.2,8.1,0,8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-9.3Al-10.4W-0.02B,Co-9.3Al-10.4W-0.02B,"Shinagawa, K., Omori, T., Oikawa, K., Kainuma, R. & Ishida, K. Ductility enhancement by boron addition in Co-Al-W high-temperature alloys. Scr. Mater. 61, 612–615 (2009).",492,980,0.0002,1,compression,487,80.28,0,9.3,0,10.4,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.5Ni-9.6Al-7.1W,CoNi-1,"Fan, Z. et al. The temperature dependence of high-temperature strength and deformation mechanism in a single crystal CoNi-base superalloy. Mater. Sci. Eng. A 735, 114–120 (2018).",490,700,0.0001,1,"compression, [001]",187,52.8,30.5,9.6,0,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.Ni-10.Al-2.Nb-5.Mo,2Nb,"Baler, N., Pandey, P., Singh, M. P., Makineni, S. K. & Chattopadhyay, K. Effects of Ti and Cr Additions in a Co–Ni–Al–Mo–Nb-Based Superalloy. in 929–936 (2020). doi:10.1007/978-3-030-51834-9_91.",489.64,770,0.001,1,,779,53,30,10,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-9.2Al-9.5W,Co-9.2Al-9.5W,"Shinagawa, K., Omori, T., Oikawa, K., Kainuma, R. & Ishida, K. Ductility enhancement by boron addition in Co-Al-W high-temperature alloys. Scr. Mater. 61, 612–615 (2009).",489,650,0.0002,1,compression,488,81.3,0,9.2,0,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-4.2Ti-12.1V,CVT-1,"Liu, X. et al. Effects of Nb and W additions on the microstructures and mechanical properties of novel ?/?’ Co-V-Ti-based superalloys. Metals (Basel). 8, (2018).",488,800,0.0001,1,compression,291,83.7,0,0,0,0,4.2,0,0,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-29.9Ni-9.Al-12.2Cr-4.1W-1.Nb,4W1Nb,"Fu, H. et al. Microstructure and Properties Evolution of Co-Al-W-Ni-Cr Superalloys by Molybdenum and Niobium Substitutions for Tungsten. Metall. Mater. Trans. A Phys. Metall. Mater. Sci. 51, 299–308 (2020).",487,750,0.0001,1,compression,203,43.76,29.91,9.03,12.19,4.07,0,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-7.8Al-4.5Cr-7.8W-2.Ta,CrTa,"Suzuki, A. & Pollock, T. M. High-temperature strength and deformation of ?/?? two-phase Co-Al-W-base alloys. Acta Mater. 56, 1288–1297 (2008).",483,700,0.0001,1,compression,499,77.9,0,7.8,4.5,7.8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-31.2Ni-9.5Al-7.2W-2.8Ti-1.8Ta,CoNi-2,"Fan, Z. et al. The temperature dependence of high-temperature strength and deformation mechanism in a single crystal CoNi-base superalloy. Mater. Sci. Eng. A 735, 114–120 (2018).",482,1000,0.0001,1,"compression, [001]",186,47.5,31.2,9.5,0,7.2,2.8,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-10.2Ni-7.3Al-8.W-2.2Ti,10Ni-8A-8W-2Ti,"Bocchini, P. J. (2015). Microstructure and Mechanical Properties in Gamma(face-centered cubic) + Gamma Prime(L1 2 ) Precipitation-Strengthened Cobalt-based Superalloys.",479,900,0.0001,1,,70,72.3,10.2,7.3,0,8,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-10.3Ni-6.3Al-7.W-4.1Ti,10Ni-7A-7W-4Ti,"Bocchini, P. J. (2015). Microstructure and Mechanical Properties in Gamma(face-centered cubic) + Gamma Prime(L1 2 ) Precipitation-Strengthened Cobalt-based Superalloys.",478,900,0.0001,1,,69,72.3,10.3,6.3,0,7,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-9.3Al-10.4W,Co-9.3Al-10.4W,"Shinagawa, K., Omori, T., Oikawa, K., Kainuma, R. & Ishida, K. Ductility enhancement by boron addition in Co-Al-W high-temperature alloys. Scr. Mater. 61, 612–615 (2009).",478,760,0.0002,1,compression,486,80.3,0,9.3,0,10.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-5.Ti-15.V,Co-5Ti-15V,"Ruan, J. J. et al. Novel Co-Ti-V-base superalloys reinforced by L12-ordered ?? phase. Intermetallics 92, 126–132 (2018).",476,700,0.0001,1,compression,440,80,0,0,0,0,5,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-9.3Al-10.4W,Co-9.3Al-10.4W,"Shinagawa, K., Omori, T., Oikawa, K., Kainuma, R. & Ishida, K. Ductility enhancement by boron addition in Co-Al-W high-temperature alloys. Scr. Mater. 61, 612–615 (2009).",475,650,0.0002,1,compression,486,80.3,0,9.3,0,10.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-10.2Ni-8.1Al-8.9W-0.Ti,10Ni-9A-9W-0Ti,"Bocchini, P. J. (2015). Microstructure and Mechanical Properties in Gamma(face-centered cubic) + Gamma Prime(L1 2 ) Precipitation-Strengthened Cobalt-based Superalloys.",474,600,0.0001,1,,71,72.8,10.2,8.1,0,8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.8Ni-9.2Al-5.1W-4.1Ti-1.Ta,Co-30Ni,"Qu, S. et al. Microstructural evolution and compression property of a novel ??-strengthened directionally solidified CoNi-base superalloy. Mater. Sci. Eng. A 761, (2019).",474,600,0.0001,1,compression,412,49.82,30.83,9.16,0,5.09,4.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-12.Ti-3.Re,Re3,"Li, L. et al. Effect of Re on microstructure and mechanical properties of ?/?? Co-Ti-based superalloys. Intermetallics 115, (2019).",472,800,0.0001,1,compression,272,85,0,0,0,0,12,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Co-12.Ti-5.Re,Re5,"Li, L. et al. Effect of Re on microstructure and mechanical properties of ?/?? Co-Ti-based superalloys. Intermetallics 115, (2019).",472,850,0.0001,1,compression,273,83,0,0,0,0,12,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
Co-30.8Ni-9.5Al-4.4W-3.8Ti-2.7Ta,CoNi-5,"Fan, Z. et al. Plastic deformation behaviors and mechanical properties of advanced single crystalline CoNi-base superalloys. Mater. Sci. Eng. A 748, 267–274 (2019).",471,500,0.0001,1,"compression, [001]",185,48.8,30.8,9.5,0,4.4,3.8,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-5.Ti-15.V,Co-5Ti-15V,"Ruan, J. J. et al. Novel Co-Ti-V-base superalloys reinforced by L12-ordered ?? phase. Intermetallics 92, 126–132 (2018).",470,800,0.0001,1,compression,440,80,0,0,0,0,5,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-31.1Ni-10.8Al-10.8Cr-2.5Ta-4.Mo-0.22C-0.05Zr-0.22B,3Ta0Nb,"Baler, N., Pandey, P., Palanisamy, D., Makineni, S. K., Phanikumar, G., & Chattopadhyay, K. (2020). On the effect of W addition on microstructural evolution and ?? precipitate coarsening in a Co–30Ni–10Al–5Mo–2Ta–2Ti alloy. Materialia, 10. https://doi.org/10.1016/j.mtla.2020.100644",468,900,0.001,1,"compression, from arc melting",8,40.21,31.14,10.76,10.83,0,0,2.54,0,0,4.03,0.22,0.05,0.22,0,0,0,0,0,0,0,0,0,0,0,0
Co-5.Ti-15.V,Co-5Ti-15V,"Ruan, J. J. et al. Novel Co-Ti-V-base superalloys reinforced by L12-ordered ?? phase. Intermetallics 92, 126–132 (2018).",468,600,0.0001,1,compression,440,80,0,0,0,0,5,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-4.2Ti-12.1V,CVT-1,"Liu, X. et al. Effects of Nb and W additions on the microstructures and mechanical properties of novel ?/?’ Co-V-Ti-based superalloys. Metals (Basel). 8, (2018).",467,600,0.0001,1,compression,291,83.7,0,0,0,0,4.2,0,0,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-5.Ti-15.V,Co-5Ti-15V,"Ruan, J. J. et al. Novel Co-Ti-V-base superalloys reinforced by L12-ordered ?? phase. Intermetallics 92, 126–132 (2018).",466,650,0.0001,1,compression,440,80,0,0,0,0,5,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-2.Ni-5.Ti-15.V,Co-5Ti-15V-2Ni,"Ruan, J. J. et al. Novel Co-Ti-V-base superalloys reinforced by L12-ordered ?? phase. Intermetallics 92, 126–132 (2018).",464,850,0.0001,1,compression,442,78,2,0,0,0,5,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-9.Al-8.2W-0.02B,Co-9Al-8.2W-0.02B,"Shinagawa, K., Omori, T., Oikawa, K., Kainuma, R. & Ishida, K. Ductility enhancement by boron addition in Co-Al-W high-temperature alloys. Scr. Mater. 61, 612–615 (2009).",464,650,0.0002,1,compression,485,82.78,0,9,0,8.2,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0
Co-9.Al-9.W,Co–9Al–9W,"Suzuki, A., DeNolf, G. C. & Pollock, T. M. Flow stress anomalies in ?/?? two-phase Co-Al-W-base alloys. Scr. Mater. 56, 385–388 (2007).",464,700,0.0001,1,compression,82,82,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.5Ni-9.6Al-7.1W,CoNi-1,"Fan, Z. et al. The temperature dependence of high-temperature strength and deformation mechanism in a single crystal CoNi-base superalloy. Mater. Sci. Eng. A 735, 114–120 (2018).",462,800,0.0001,1,"compression, [001]",187,52.8,30.5,9.6,0,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-10.2Ni-8.1Al-8.9W-0.Ti,10Ni-9A-9W-0Ti,"Bocchini, P. J. (2015). Microstructure and Mechanical Properties in Gamma(face-centered cubic) + Gamma Prime(L1 2 ) Precipitation-Strengthened Cobalt-based Superalloys.",461,700,0.0001,1,,71,72.8,10.2,8.1,0,8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-7.8Al-4.5Cr-7.8W-2.Ta,CrTa,"Suzuki, A. & Pollock, T. M. High-temperature strength and deformation of ?/?? two-phase Co-Al-W-base alloys. Acta Mater. 56, 1288–1297 (2008).",461,605,0.0001,1,compression,499,77.9,0,7.8,4.5,7.8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-9.Al-9.W-2.Ta,Co–9Al–9W-2Ta,"Suzuki, A., DeNolf, G. C. & Pollock, T. M. Flow stress anomalies in ?/?? two-phase Co-Al-W-base alloys. Scr. Mater. 56, 385–388 (2007).",461,600,0.0001,1,compression,503,80,0,9,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-9.2Al-9.W,9W,"Suzuki, A. & Pollock, T. M. High-temperature strength and deformation of ?/?? two-phase Co-Al-W-base alloys. Acta Mater. 56, 1288–1297 (2008).",458,700,0.0001,1,compression,446,81.8,0,9.2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-31.2Ni-9.5Al-7.2W-2.8Ti-1.8Ta,CoNi-2,"Fan, Z. et al. The temperature dependence of high-temperature strength and deformation mechanism in a single crystal CoNi-base superalloy. Mater. Sci. Eng. A 735, 114–120 (2018).",457,700,0.0001,1,"compression, [001]",186,47.5,31.2,9.5,0,7.2,2.8,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.9Al-6.9W,Co-8.9Al-6.9W,"Shinagawa, K., Omori, T., Oikawa, K., Kainuma, R. & Ishida, K. Ductility enhancement by boron addition in Co-Al-W high-temperature alloys. Scr. Mater. 61, 612–615 (2009).",457,25,0.0002,1,compression,482,84.2,0,8.9,0,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-35.4Ni-9.7Al-6.Cr-3.4Ti-2.8Ta-4.8Mo,HEACoNi,"Pandey, P., Kashyap, S., Palanisamy, D., Sharma, A. & Chattopadhyay, K. On the high temperature coarsening kinetics of ?? precipitates in a high strength Co37.6Ni35.4Al9.9Mo4.9Cr5.9Ta2.8Ti3.5 fcc-based high entropy alloy. Acta Mater. 177, 82–95 (2019).",456,970,0.001,1,compression,385,37.9,35.4,9.7,6,0,3.4,2.8,0,0,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-2.Ti-2.Ta-12.V,Co-12V-2Ta-2Ti,"Ruan, J. et al. Accelerated design of novel W-free high-strength Co-base superalloys with extremely wide ?/?? region by machine learning and CALPHAD methods. Acta Mater. 186, 425–433 (2020).",455,850,0.0001,1,compression,411,84,0,0,0,0,2,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-15.Cr-11.Ti,CTC-1,"Zenk, C. H. et al. A novel type of Co–Ti–Cr-base ?/?? superalloys with low mass density. Acta Mater. 135, 244–251 (2017).",454,750,0.0001,1,compression,644,74,0,0,15,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.8Al-9.8W-2.Ta,2Ta,"Suzuki, A. & Pollock, T. M. High-temperature strength and deformation of ?/?? two-phase Co-Al-W-base alloys. Acta Mater. 56, 1288–1297 (2008).",453,600,0.0001,1,compression,222,79.4,0,8.8,0,9.8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-29.5Ni-9.6Al-12.7Cr-4.5Ti-1.9Nb,Co10Al2Nb,"Baler, N., Pandey, P., Chattopadhyay, K., & Phanikumar, G. (2020). Influence of Thermomechanical Processing Parameters on Microstructural Evolution of a Gamma-Prime Strengthened Cobalt Based Superalloy During High Temperature Deformation. Materials Science and Engineering: A, 139498. https://doi.org/10.1016/j.msea.2020.139510",452,1025,1,1,"compression, from arc melting",1,41.8,29.5,9.6,12.7,0,4.5,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-10.2Ni-5.4Al-6.1W-5.9Ti,10Ni-6A-6W-6Ti,"Bocchini, P. J. (2015). Microstructure and Mechanical Properties in Gamma(face-centered cubic) + Gamma Prime(L1 2 ) Precipitation-Strengthened Cobalt-based Superalloys.",452,900,0.0001,1,,68,72.4,10.2,5.4,0,6.1,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.8Ni-9.2Al-5.1W-4.1Ti-1.Ta,Co-30Ni,"Qu, S. et al. Microstructural evolution and compression property of a novel ??-strengthened directionally solidified CoNi-base superalloy. Mater. Sci. Eng. A 761, (2019).",452,950,0.0001,1,compression,412,49.82,30.83,9.16,0,5.09,4.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-2.Al-5.Ti-15.V,Co-5Ti-15V-2Al,"Ruan, J. J. et al. Novel Co-Ti-V-base superalloys reinforced by L12-ordered ?? phase. Intermetallics 92, 126–132 (2018).",451,25,0.0001,1,compression,441,78,0,2,0,0,5,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-10.Ni-4.5Al-5.2W-7.8Ti,10Ni-5A-5W-8Ti,"Bocchini, P. J. (2015). Microstructure and Mechanical Properties in Gamma(face-centered cubic) + Gamma Prime(L1 2 ) Precipitation-Strengthened Cobalt-based Superalloys.",450,900,0.0001,1,,67,72.5,10,4.5,0,5.2,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-12.Al-11.W,"Co3(Al,W)","Okamoto, N. L. et al. Plastic deformation of polycrystals of Co3(Al,W) with the L12 structure. Philos. Mag. 91, 3667–3684 (2011).",450,-195,0.0001,1,compression,127,77,0,12,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.9Al-6.9W-0.02B,Co-8.9Al-6.9W-0.02B,"Shinagawa, K., Omori, T., Oikawa, K., Kainuma, R. & Ishida, K. Ductility enhancement by boron addition in Co-Al-W high-temperature alloys. Scr. Mater. 61, 612–615 (2009).",449,760,0.0002,1,compression,483,84.18,0,8.9,0,6.9,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0
Co-12.Ti-1.Re,Re1,"Li, L. et al. Effect of Re on microstructure and mechanical properties of ?/?? Co-Ti-based superalloys. Intermetallics 115, (2019).",447,800,0.0001,1,compression,271,87,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Co-12.Al-11.W,"Co3(Al,W)","Okamoto, N. L. et al. Plastic deformation of polycrystals of Co3(Al,W) with the L12 structure. Philos. Mag. 91, 3667–3684 (2011).",445,-195,0.0001,1,compression,127,77,0,12,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-29.7Ni-8.9Al-12.3Cr-5.1W,5W,"Fu, H. et al. Microstructure and Properties Evolution of Co-Al-W-Ni-Cr Superalloys by Molybdenum and Niobium Substitutions for Tungsten. Metall. Mater. Trans. A Phys. Metall. Mater. Sci. 51, 299–308 (2020).",443,750,0.0001,1,compression,199,44.04,29.71,8.86,12.32,5.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-9.Al-9.W,Co–9Al–9W,"Suzuki, A., DeNolf, G. C. & Pollock, T. M. Flow stress anomalies in ?/?? two-phase Co-Al-W-base alloys. Scr. Mater. 56, 385–388 (2007).",441,510,0.0001,1,compression,82,82,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-12.Al-11.W,"Co3(Al,W)","Okamoto, N. L. et al. Plastic deformation of polycrystals of Co3(Al,W) with the L12 structure. Philos. Mag. 91, 3667–3684 (2011).",440,-195,0.0001,1,compression,127,77,0,12,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-5.Ti-15.V,Co-5Ti-15V,"Ruan, J. J. et al. Novel Co-Ti-V-base superalloys reinforced by L12-ordered ?? phase. Intermetallics 92, 126–132 (2018).",437,850,0.0001,1,compression,440,80,0,0,0,0,5,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-9.Al-8.2W,Co-9Al-8.2W,"Shinagawa, K., Omori, T., Oikawa, K., Kainuma, R. & Ishida, K. Ductility enhancement by boron addition in Co-Al-W high-temperature alloys. Scr. Mater. 61, 612–615 (2009).",437,760,0.0002,1,compression,484,82.8,0,9,0,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-9.2Al-9.W,9W,"Suzuki, A. & Pollock, T. M. High-temperature strength and deformation of ?/?? two-phase Co-Al-W-base alloys. Acta Mater. 56, 1288–1297 (2008).",437,505,0.0001,1,compression,446,81.8,0,9.2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-10.2Ni-8.1Al-8.9W-0.Ti,10Ni-9A-9W-0Ti,"Bocchini, P. J. (2015). Microstructure and Mechanical Properties in Gamma(face-centered cubic) + Gamma Prime(L1 2 ) Precipitation-Strengthened Cobalt-based Superalloys.",435,900,0.0001,1,,71,72.8,10.2,8.1,0,8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.8Ni-9.5Al-4.4W-3.8Ti-2.7Ta,CoNi-5,"Fan, Z. et al. Plastic deformation behaviors and mechanical properties of advanced single crystalline CoNi-base superalloys. Mater. Sci. Eng. A 748, 267–274 (2019).",432,25,0.0001,1,"compression, [001]",185,48.8,30.8,9.5,0,4.4,3.8,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-2.1W-4.1Ti-9.9V,CCTW,"Liu, X. et al. Effects of Nb and W additions on the microstructures and mechanical properties of novel ?/?’ Co-V-Ti-based superalloys. Metals (Basel). 8, (2018).",432,900,0.0001,1,compression,293,83.9,0,0,0,2.1,4.1,0,0,9.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-9.4Al-10.7W,11W,"Suzuki, A. & Pollock, T. M. High-temperature strength and deformation of ?/?? two-phase Co-Al-W-base alloys. Acta Mater. 56, 1288–1297 (2008).",432,700,0.0001,1,compression,221,79.9,0,9.4,0,10.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.Ni-10.Al-2.Ti-5.Mo,2Nb2Ti,"Baler, N., Pandey, P., Singh, M. P., Makineni, S. K. & Chattopadhyay, K. Effects of Ti and Cr Additions in a Co–Ni–Al–Mo–Nb-Based Superalloy. in 929–936 (2020). doi:10.1007/978-3-030-51834-9_91.",430.74,900,0.001,1,,781,53,30,10,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-29.5Ni-8.9Al-12.6Cr-3.9W-1.Mo,4W1Mo,"Fu, H. et al. Microstructure and Properties Evolution of Co-Al-W-Ni-Cr Superalloys by Molybdenum and Niobium Substitutions for Tungsten. Metall. Mater. Trans. A Phys. Metall. Mater. Sci. 51, 299–308 (2020).",429,750,0.0001,1,compression,200,44.07,29.49,8.9,12.58,3.92,0,0,0,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.Ni-10.Al-10.Cr-2.Nb-5.Mo,2Nb10Cr,"Baler, N., Pandey, P., Singh, M. P., Makineni, S. K. & Chattopadhyay, K. Effects of Ti and Cr Additions in a Co–Ni–Al–Mo–Nb-Based Superalloy. in 929–936 (2020). doi:10.1007/978-3-030-51834-9_91.",428.48,900,0.001,1,,780,43,30,10,10,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-12.Al-11.W,"Co3(Al,W)","Okamoto, N. L. et al. Plastic deformation of polycrystals of Co3(Al,W) with the L12 structure. Philos. Mag. 91, 3667–3684 (2011).",425,-195,0.0001,1,compression,127,77,0,12,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
