Shortname,Name,Paper,Temperature C,aging time,Vf,Notes,Index,Co,Ni,Al,Cr,W,Ti,Ta,Nb,V,Mo,C,Zr,B,Ir,Re,Si,Fe,Y,Hf,Ge,Mn,Sc,Ru,Ce,Nd
Co-9.Al-7.5W-2.0Ta,ERBOCo-2Ta,"Volz, N., Xue, F., Zenk, C. H., Bezold, A., Gabel, S., Subramanyam, A. P. A., Drautz, R., 10.1016/j.jallcom.2021.160379Hammerschmidt, T., Makineni, S. K., Gault, B., Göken, M., & Neumeier, S. (2021). Understanding creep of a single-crystalline Co-Al-W-Ta superalloy by studying the deformation mechanism, segregation tendency and stacking fault energy. Acta Materialia, 214. https://doi.org/10.1016/j.actamat.2021.117020",975,50,56,,,81.5,0,9,0,7.5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-9.Al-7.5W-2.0Ta,ERBOCo-2Ta,"Volz, N., Xue, F., Zenk, C. H., Bezold, A., Gabel, S., Subramanyam, A. P. A., Drautz, R., 10.1016/j.jallcom.2021.160379Hammerschmidt, T., Makineni, S. K., Gault, B., Göken, M., & Neumeier, S. (2021). Understanding creep of a single-crystalline Co-Al-W-Ta superalloy by studying the deformation mechanism, segregation tendency and stacking fault energy. Acta Materialia, 214. https://doi.org/10.1016/j.actamat.2021.117021",1000,50,58,,,81.5,0,9,0,7.5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.4Al-4.1W-0.2Ta,VF0,"Volz, N., Xue, F., Bezold, A., Zenk, C. H., Fries, S. G., Schreuer, J., Neumeier, S., & Göken, M. (2021). Design of a Co–Al–W–Ta Alloy Series with Varying ?? Volume Fraction and Their Thermophysical Properties. Metallurgical and Materials Transactions A: Physical Metallurgy and Materials Science, 52(9), 3931–3944. https://doi.org/10.1007/s11661-021-06353-y",900,100,0,,,87.3,0,8.4,0,4.1,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.6Al-6.0W-0.6Ta,VF20,"Volz, N., Xue, F., Bezold, A., Zenk, C. H., Fries, S. G., Schreuer, J., Neumeier, S., & Göken, M. (2021). Design of a Co–Al–W–Ta Alloy Series with Varying ?? Volume Fraction and Their Thermophysical Properties. Metallurgical and Materials Transactions A: Physical Metallurgy and Materials Science, 52(9), 3931–3944. https://doi.org/10.1007/s11661-021-06353-y",900,100,20,,,84.8,0,8.6,0,6,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.5Al-7.7W-1.1Ta,VF40,"Volz, N., Xue, F., Bezold, A., Zenk, C. H., Fries, S. G., Schreuer, J., Neumeier, S., & Göken, M. (2021). Design of a Co–Al–W–Ta Alloy Series with Varying ?? Volume Fraction and Their Thermophysical Properties. Metallurgical and Materials Transactions A: Physical Metallurgy and Materials Science, 52(9), 3931–3944. https://doi.org/10.1007/s11661-021-06353-y",900,100,50,,,82.7,0,8.5,0,7.7,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.4Al-9.3W-1.6Ta,VF60,"Volz, N., Xue, F., Bezold, A., Zenk, C. H., Fries, S. G., Schreuer, J., Neumeier, S., & Göken, M. (2021). Design of a Co–Al–W–Ta Alloy Series with Varying ?? Volume Fraction and Their Thermophysical Properties. Metallurgical and Materials Transactions A: Physical Metallurgy and Materials Science, 52(9), 3931–3944. https://doi.org/10.1007/s11661-021-06353-y",900,100,70,,,80.7,0,8.4,0,9.3,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.2Al-11.0W-2.0Ta,VF80,"Volz, N., Xue, F., Bezold, A., Zenk, C. H., Fries, S. G., Schreuer, J., Neumeier, S., & Göken, M. (2021). Design of a Co–Al–W–Ta Alloy Series with Varying ?? Volume Fraction and Their Thermophysical Properties. Metallurgical and Materials Transactions A: Physical Metallurgy and Materials Science, 52(9), 3931–3944. https://doi.org/10.1007/s11661-021-06353-y",900,100,65,,,78.8,0,8.2,0,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-8.1Al-12.5W-2.4Ta,VF100,"Volz, N., Xue, F., Bezold, A., Zenk, C. H., Fries, S. G., Schreuer, J., Neumeier, S., & Göken, M. (2021). Design of a Co–Al–W–Ta Alloy Series with Varying ?? Volume Fraction and Their Thermophysical Properties. Metallurgical and Materials Transactions A: Physical Metallurgy and Materials Science, 52(9), 3931–3944. https://doi.org/10.1007/s11661-021-06353-y",900,100,56,,,77,0,8.1,0,12.5,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-9.Al-9.0W-2.0Ta-0.02Ce-0.02B,Co-9Al-9W-2Ta-0.02B-0.02Ce (SX),"Zhang, B. S., Yu, Y. X., Tao, Z. L., & Sha, J. B. (2021). A comparative study on microstructures and tensile behaviours of a novel polycrystalline and single-crystal Co–9Al–9W–2Ta-0.02B-0.02Ce alloy at room and high temperatures. Intermetallics, 137. https://doi.org/10.1016/j.intermet.2021.107284",900,50,82,,,79.96,0,9,0,9,0,2,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0.02,0
Co-29.8Ni-7.8Al-14.4Cr-2.0W-4.3Ti-0.9Ta,base,"Zhuang, X., Antonov, S., Li, L., & Feng, Q. (2021). Effect of alloying elements on the coarsening rate of ?? precipitates in multi-component CoNi-based superalloys with high Cr content. Scripta Materialia, 202. https://doi.org/10.1016/j.scriptamat.2021.114004",850,1000,50,,,40.8,29.8,7.8,14.4,2,4.3,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-29.8Ni-8.Al-14.3Cr-2.9W-4.2Ti-1.0Ta,+1W,"Zhuang, X., Antonov, S., Li, L., & Feng, Q. (2021). Effect of alloying elements on the coarsening rate of ?? precipitates in multi-component CoNi-based superalloys with high Cr content. Scripta Materialia, 202. https://doi.org/10.1016/j.scriptamat.2021.114005",850,1000,54,,,39.8,29.8,8,14.3,2.9,4.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-29.8Ni-7.9Al-14.2Cr-2.0W-4.2Ti-1.0Ta-1.0Mo,+1Mo,"Zhuang, X., Antonov, S., Li, L., & Feng, Q. (2021). Effect of alloying elements on the coarsening rate of ?? precipitates in multi-component CoNi-based superalloys with high Cr content. Scripta Materialia, 202. https://doi.org/10.1016/j.scriptamat.2021.114006",850,1000,51,,,39.9,29.8,7.9,14.2,2,4.2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.0Ni-7.8Al-14.3Cr-2.0W-5.3Ti-0.9Ta,+1Ti,"Zhuang, X., Antonov, S., Li, L., & Feng, Q. (2021). Effect of alloying elements on the coarsening rate of ?? precipitates in multi-component CoNi-based superalloys with high Cr content. Scripta Materialia, 202. https://doi.org/10.1016/j.scriptamat.2021.114007",850,1000,58,,,39.7,30,7.8,14.3,2,5.3,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-20.4Ni-9.8Al-7.4W-2.7Ti-0.40C-0.10B,Aliakbari alloy,"Aliakbari-Sani, S., Vafaeenezhad, H., Arabi, H., & Ebrahimi, G. R. (2022). Quantitative kinetic analysis of ?? precipitate evolution in a Co–Al–W superalloy during aging heat treatment. Journal of Materials Research and Technology, 21, 3425–3439. https://doi.org/10.1016/j.jmrt.2022.10.165",900,48,75.8,,,59.2,20.4,9.8,0,7.4,2.7,0,0,0,0,0.4,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
Co-20.4Ni-9.8Al-7.4W-2.7Ti-0.40C-0.10B,Aliakbari alloy,"Aliakbari-Sani, S., Vafaeenezhad, H., Arabi, H., & Ebrahimi, G. R. (2022). Quantitative kinetic analysis of ?? precipitate evolution in a Co–Al–W superalloy during aging heat treatment. Journal of Materials Research and Technology, 21, 3425–3439. https://doi.org/10.1016/j.jmrt.2022.10.166",840,48,75.2,,,59.2,20.4,9.8,0,7.4,2.7,0,0,0,0,0.4,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
Co-20.4Ni-9.8Al-7.4W-2.7Ti-0.40C-0.10B,Aliakbari alloy,"Aliakbari-Sani, S., Vafaeenezhad, H., Arabi, H., & Ebrahimi, G. R. (2022). Quantitative kinetic analysis of ?? precipitate evolution in a Co–Al–W superalloy during aging heat treatment. Journal of Materials Research and Technology, 21, 3425–3439. https://doi.org/10.1016/j.jmrt.2022.10.167",780,48,74.1,,,59.2,20.4,9.8,0,7.4,2.7,0,0,0,0,0.4,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
Co-20.4Ni-9.8Al-7.4W-2.7Ti-0.40C-0.10B,Aliakbari alloy,"Aliakbari-Sani, S., Vafaeenezhad, H., Arabi, H., & Ebrahimi, G. R. (2022). Quantitative kinetic analysis of ?? precipitate evolution in a Co–Al–W superalloy during aging heat treatment. Journal of Materials Research and Technology, 21, 3425–3439. https://doi.org/10.1016/j.jmrt.2022.10.168",720,48,72.5,,,59.2,20.4,9.8,0,7.4,2.7,0,0,0,0,0.4,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.0Ni-10.Al-2.0Ti-2.0Ta-5.0Mo,Athira alloy,"Athira, K. S., Pandey, P., Prabhakar, K. V. P., Chattopadhyay, K., & Chatterjee, S. (2022). Laser welding of a W-free precipitation strengthened Co-base superalloy. Journal of Materials Science, 57(13), 7085–7100. https://doi.org/10.1007/s10853-022-07117-8",900,50,74,,,51,30,10,0,0,2,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-15.Cr-11.Ti,CTC-1,"Bezold, A., Volz, N., Lenz, M., Zenk, C. H., Spiecker, E., Mills, M., Göken, M., & Neumeier, S. (2021). Yielding behavior of a single-crystalline ?’-strengthened Co-Ti-Cr superalloy. Scripta Materialia, 200. https://doi.org/10.1016/j.scriptamat.2021.113928",900,100,58,,,74,0,0,15,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-32.0Ni-8.Al-6.0Cr-5.7W-2.8Ti-1.8Ta-0.4Si-0.1Hf,ERBOCo-4 (SX),"Bezold, A., Volz, N., Lenz, M., Karpstein, N., Zenk, C. H., Spiecker, E., Göken, M., & Neumeier, S. (2022). Quantification of the temperature-dependent evolution of defect structures in a CoNi-base superalloy. Acta Materialia, 227. https://doi.org/10.1016/j.actamat.2022.117702",900,16,71,,,43.2,32,8,6,5.7,2.8,1.8,0,0,0,0,0,0,0,0,0.4,0,0,0.1,0,0,0,0,0,0
Co-32.Ni-6.Al-12.Cr-3.W-2.5Ti-1.5Ta-0.4Si-0.1Hf-0.08C-0.01Zr-0.08B,CoWAlloy1,"Bezold, A., Freund, L. P., Förner, A., Völkl, J., Huber, L. K., Göken, M., & Neumeier, S. (2022). Deformation Mechanisms in Compositionally Complex Polycrystalline CoNi-Base Superalloys: Influence of Temperature, Strain-Rate and Chemistry. Metallurgical and Materials Transactions A: Physical Metallurgy and Materials Science. https://doi.org/10.1007/s11661-022-06912-x",750,16,61.7,,,42.33,32,6,12,3,2.5,1.5,0,0,0,0.08,0.01,0.08,0,0,0.4,0,0,0.1,0,0,0,0,0,0
Co-31.8Ni-8.7Al-12.6Cr-4.7W-0.3Ti-0.2Ta-0.4Si-0.1Hf-0.08C-0.01Zr-0.08B,CoWAlloy2,"Bezold, A., Freund, L. P., Förner, A., Völkl, J., Huber, L. K., Göken, M., & Neumeier, S. (2022). Deformation Mechanisms in Compositionally Complex Polycrystalline CoNi-Base Superalloys: Influence of Temperature, Strain-Rate and Chemistry. Metallurgical and Materials Transactions A: Physical Metallurgy and Materials Science. https://doi.org/10.1007/s11661-022-06912-x",750,16,61.8,,,41.03,31.8,8.7,12.6,4.7,0.3,0.2,0,0,0,0.08,0.01,0.08,0,0,0.4,0,0,0.1,0,0,0,0,0,0
Co-35.0Ni-7.5Al-15.0Cr-5.0W-1.0Ti-1.0Ta-0.4Si-0.1Hf-0.08B,PHESA1,"Bezold, A., Freund, L. P., Förner, A., Völkl, J., Huber, L. K., Göken, M., & Neumeier, S. (2022). Deformation Mechanisms in Compositionally Complex Polycrystalline CoNi-Base Superalloys: Influence of Temperature, Strain-Rate and Chemistry. Metallurgical and Materials Transactions A: Physical Metallurgy and Materials Science. https://doi.org/10.1007/s11661-022-06912-x",750,16,61.3,,,34.92,35,7.5,15,5,1,1,0,0,0,0,0,0.08,0,0,0.4,0,0,0.1,0,0,0,0,0,0
Co-35.0Ni-9.Al-15.0Cr-5.0W-0.3Ti-0.2Ta-0.4Si-0.1Hf-0.08B,PHESA2,"Bezold, A., Freund, L. P., Förner, A., Völkl, J., Huber, L. K., Göken, M., & Neumeier, S. (2022). Deformation Mechanisms in Compositionally Complex Polycrystalline CoNi-Base Superalloys: Influence of Temperature, Strain-Rate and Chemistry. Metallurgical and Materials Transactions A: Physical Metallurgy and Materials Science. https://doi.org/10.1007/s11661-022-06912-x",750,16,61.5,,,34.92,35,9,15,5,0.3,0.2,0,0,0,0,0,0.08,0,0,0.4,0,0,0.1,0,0,0,0,0,0
Co-29.6Ni-10.5Al-3.0Nb,30Ni,"Cao, B. X., Xu, W. W., Yu, C. Y., Wu, S. W., Kong, H. J., Ding, Z. Y., Zhang, T. L., Luan, J. H., Xiao, B., Jiao, Z. B., Liu, Y., Yang, T., & Liu, C. T. (2022). L12-strengthened multicomponent Co-Al-Nb-based alloys with high strength and matrix-confined stacking-fault-mediated plasticity. Acta Materialia, 229. https://doi.org/10.1016/j.actamat.2022.117763",700,168,38.1,,,56.9,29.6,10.5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-28.9Ni-10.3Al-2.1Ti-3.1Nb,30Ni2Ti,"Cao, B. X., Xu, W. W., Yu, C. Y., Wu, S. W., Kong, H. J., Ding, Z. Y., Zhang, T. L., Luan, J. H., Xiao, B., Jiao, Z. B., Liu, Y., Yang, T., & Liu, C. T. (2022). L12-strengthened multicomponent Co-Al-Nb-based alloys with high strength and matrix-confined stacking-fault-mediated plasticity. Acta Materialia, 229. https://doi.org/10.1016/j.actamat.2022.117764",700,168,52.8,,,55.6,28.9,10.3,0,0,2.1,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-29.0Ni-10.1Al-2.2Ta-3.2Nb,30Ni2Ta,"Cao, B. X., Xu, W. W., Yu, C. Y., Wu, S. W., Kong, H. J., Ding, Z. Y., Zhang, T. L., Luan, J. H., Xiao, B., Jiao, Z. B., Liu, Y., Yang, T., & Liu, C. T. (2022). L12-strengthened multicomponent Co-Al-Nb-based alloys with high strength and matrix-confined stacking-fault-mediated plasticity. Acta Materialia, 229. https://doi.org/10.1016/j.actamat.2022.117765",700,168,55.6,,,55.5,29,10.1,0,0,0,2.2,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-29.2Ni-9.8Al-2.2Ti-2.0Ta-3.2Nb,30Ni2Ti2Ta,"Cao, B. X., Xu, W. W., Yu, C. Y., Wu, S. W., Kong, H. J., Ding, Z. Y., Zhang, T. L., Luan, J. H., Xiao, B., Jiao, Z. B., Liu, Y., Yang, T., & Liu, C. T. (2022). L12-strengthened multicomponent Co-Al-Nb-based alloys with high strength and matrix-confined stacking-fault-mediated plasticity. Acta Materialia, 229. https://doi.org/10.1016/j.actamat.2022.117766",700,168,61,,,53.6,29.2,9.8,0,0,2.2,2,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-13.7Al-7.7W,Ternary T1,"Casas, R., Galvez, F., & Campos, M. (2022). Microstructure stability and hardening determination through heat treatment of sintered Co ?/?? based alloys. Powder Metallurgy, 65(3), 242–252. https://doi.org/10.1080/00325899.2021.1994116",900,1000,74,,,78.63,0,13.66,0,7.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-11.7Al-9.0W-2.1Ti-1.7Ta,Quinary T2,"Casas, R., Galvez, F., & Campos, M. (2022). Microstructure stability and hardening determination through heat treatment of sintered Co ?/?? based alloys. Powder Metallurgy, 65(3), 242–252. https://doi.org/10.1080/00325899.2021.1994116",900,1000,75,,,75.49,0,11.65,0,9.03,2.14,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-7.7Ni-12.Al-11.0W,10Ni,"Chen, Z., Kishida, K., Inui, H., Heilmaier, M., Glatzel, U., & Eggeler, G. (2022). Improving the intermediate- and high-temperature strength of L12-Co3(Al,W) by Ni and Ta additions. Acta Materialia, 238. https://doi.org/10.1016/j.actamat.2022.118224",850,168,0,,,69.3,7.7,12,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-15.4Ni-12.Al-11.0W,20Ni,"Chen, Z., Kishida, K., Inui, H., Heilmaier, M., Glatzel, U., & Eggeler, G. (2022). Improving the intermediate- and high-temperature strength of L12-Co3(Al,W) by Ni and Ta additions. Acta Materialia, 238. https://doi.org/10.1016/j.actamat.2022.118225",850,168,0,,,61.6,15.4,12,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-15.4Ni-12.Al-9.0W-2.0Ta,20Ni-2Ta,"Chen, Z., Kishida, K., Inui, H., Heilmaier, M., Glatzel, U., & Eggeler, G. (2022). Improving the intermediate- and high-temperature strength of L12-Co3(Al,W) by Ni and Ta additions. Acta Materialia, 238. https://doi.org/10.1016/j.actamat.2022.118226",850,168,0,,,61.6,15.4,12,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-5.Al-14.0V,Co-5Al-14V,"Chen, Y., Wang, C., Ruan, J., Omori, T., Kainuma, R., Ishida, K., & Liu, X. (2019). High-strength Co–Al–V-base superalloys strengthened by ??-Co 3 (Al,V) with high solvus temperature. Acta Materialia, 170, 62–74. https://doi.org/10.1016/j.actamat.2019.03.013",900,4000,52,,,81,0,5,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.0Ni-5.Al-4.0Ta-10.0V,Co-30Ni-5Al-10V-4Ta,"Chen, Y., Wang, C., Ruan, J., Omori, T., Kainuma, R., Ishida, K., & Liu, X. (2019). High-strength Co–Al–V-base superalloys strengthened by ??-Co 3 (Al,V) with high solvus temperature. Acta Materialia, 170, 62–74. https://doi.org/10.1016/j.actamat.2019.03.023",900,4000,66,,,51,30,5,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.0Ni-7.5Al-4.0Ta-7.5V,Co-30Ni-7.5Al-7.5V-4Ta,"Chen, Y., Wang, C., Ruan, J., Omori, T., Kainuma, R., Ishida, K., & Liu, X. (2019). High-strength Co–Al–V-base superalloys strengthened by ??-Co 3 (Al,V) with high solvus temperature. Acta Materialia, 170, 62–74. https://doi.org/10.1016/j.actamat.2019.03.024",900,4000,70,,,51,30,7.5,0,0,0,4,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.0Ni-10.Al-4.0Ta-5.0V,Co-30Ni-10Al-5V-4Ta,"Chen, Y., Wang, C., Ruan, J., Omori, T., Kainuma, R., Ishida, K., & Liu, X. (2019). High-strength Co–Al–V-base superalloys strengthened by ??-Co 3 (Al,V) with high solvus temperature. Acta Materialia, 170, 62–74. https://doi.org/10.1016/j.actamat.2019.03.025",900,4000,72,,,51,30,10,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.0Ni-10.Al-2.0Ti-4.0Ta-5.0V,Co-30Ni-10Al-5V-4Ta-2Ti,"Chen, Y., Wang, C., Ruan, J., Omori, T., Kainuma, R., Ishida, K., & Liu, X. (2019). High-strength Co–Al–V-base superalloys strengthened by ??-Co 3 (Al,V) with high solvus temperature. Acta Materialia, 170, 62–74. https://doi.org/10.1016/j.actamat.2019.03.026",700,50,87,,,49,30,10,0,0,2,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.0Ni-9.Al-6.7Cr-6.0W-1.5Ta-0.10C, Co–30Ni–9Al–6W-6.7Cr-1.5Ta-0.1C,"Chu, C., Li, C., Guan, Y., & Liu, Y. (2022). Microstructure-dependent coarsening behavior of ?? precipitates in CoNi-based superalloys. Intermetallics, 140. https://doi.org/10.1016/j.intermet.2021.107396",900,200,38,,,46.7,30,9,6.7,6,0,1.5,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.0Ni-9.5Al-6.5Cr-5.5W-4.0Ti-2.0Ta-0.10C,CoNi,"Chu, C., Guo, Q., Guan, Y., Qiao, Z., & Liu, Y. (2022). Deformation mechanisms of a ?? phase strengthened CoNi-based superalloy at high temperatures. Materials Science and Engineering A, 833. https://doi.org/10.1016/j.msea.2021.142587",900,200,69,,,42.4,30,9.5,6.5,5.5,4,2,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-40.0Ni-10.Al-10.0Cr-7.5W-3.0Nb-0.60C-0.06B,3Nb,"Costa, A. M. S., Oliveira, J. P., Escobar, J. D., Salvador, C. A. F., Monteiro, M. J., Poplawsky, J. D., Nunes, C. A., Ramirez, A. J., & Tschiptschin, A. P. (2022). On the effect of elemental partitioning to secondary phases after solution and aging heat treatments in a Co-Ni-based superalloy. Materials Letters, 309. https://doi.org/10.1016/j.matlet.2021.131377",1000,168,11,,,28.84,40,10,10,7.5,0,0,3,0,0,0.6,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.0Ni-9.Al-6.0W-3.0Ti-1.0Ta-0.05Zr-0.12B,superalloy,"Fallah Sheykhlari, A., Arabi, H., & Boutorabi, S. M. A. (2023). Directional coalescence of ?’ precipitates during long time aging of CoNiAlW superalloy. Materials Characterization, 196. https://doi.org/10.1016/j.matchar.2022.112597",900,5000,67,,,50.83,30,9,0,6,3,1,0,0,0,0,0.05,0.12,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.0Ni-9.Al-0.0Cr-6.0W-3.0Ti-1.0Ta-0.05Zr-0.12B,B,"Fallah Sheykhlari, A., Arabi, H., Boutorabi, S. M. A., & Cayron, C. (2022). Effect of chromium content on microstructural evolution of CoNiAlW superalloy. Applied Physics A: Materials Science and Processing, 128(8). https://doi.org/10.1007/s00339-022-05768-7",900,96,94,,,50.83,30,9,0,6,3,1,0,0,0,0,0.05,0.12,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.0Ni-9.Al-6.0Cr-6.0W-3.0Ti-1.0Ta-0.05Zr-0.12B,B6Cr,"Fallah Sheykhlari, A., Arabi, H., Boutorabi, S. M. A., & Cayron, C. (2022). Effect of chromium content on microstructural evolution of CoNiAlW superalloy. Applied Physics A: Materials Science and Processing, 128(8). https://doi.org/10.1007/s00339-022-05768-8",900,96,88,,,44.83,30,9,6,6,3,1,0,0,0,0,0.05,0.12,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.0Ni-9.Al-10.0Cr-6.0W-3.0Ti-1.0Ta-0.05Zr-0.12B,B10Cr,"Fallah Sheykhlari, A., Arabi, H., Boutorabi, S. M. A., & Cayron, C. (2022). Effect of chromium content on microstructural evolution of CoNiAlW superalloy. Applied Physics A: Materials Science and Processing, 128(8). https://doi.org/10.1007/s00339-022-05768-9",900,96,74,,,40.83,30,9,10,6,3,1,0,0,0,0,0.05,0.12,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.0Ni-9.Al-14.0Cr-6.0W-3.0Ti-1.0Ta-0.05Zr-0.12B,B14Cr,"Fallah Sheykhlari, A., Arabi, H., Boutorabi, S. M. A., & Cayron, C. (2022). Effect of chromium content on microstructural evolution of CoNiAlW superalloy. Applied Physics A: Materials Science and Processing, 128(8). https://doi.org/10.1007/s00339-022-05768-10",900,96,57,,,36.83,30,9,14,6,3,1,0,0,0,0,0.05,0.12,0,0,0,0,0,0,0,0,0,0,0,0
Co-29.1Ni-8.7Al-6.4Cr-5.8W-1.9Ti-0.11C,CoNi-based superalloy,"Guan, Y., Liu, Y., Ma, Z., Li, H., & Yu, H. (2022). Effect of microstructure on temperature dependence of deformation behavior in polycrystalline CoNi-based superalloy. Journal of Materials Science, 57(1), 687–699. https://doi.org/10.1007/s10853-021-06582-x",900,50,50,,,48.07,29.1,8.66,6.4,5.8,1.86,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-28.7Ni-9.Al-14.2Cr-4.6W-0.3Ti-0.2Ta-0.1Hf-0.40C-0.06B-0.1Y,CoWAlloy2Mod,"Haußmann, L., Burbaum, B., Stöhr, B., Förner, A., Freund, L., Göken, M., & Neumeier, S. (2022). Crack-Free Welding of a Co-Base Superalloy with High ?’ Precipitate Fraction. Advanced Engineering Materials. https://doi.org/10.1002/adem.202200609",870,20,42,,,42.34,28.7,9,14.2,4.6,0.3,0.2,0,0,0,0.4,0,0.06,0,0,0,0,0.1,0.1,0,0,0,0,0,0
Co-7.3Al-7.6W-4.2Ti,Co-7.3Al-7.6 W-4.2Ti,"He, J., Wang, X., Zhou, H., & Wang, X. (2022). Low cycle fatigue of a ?’-strengthened Co-based single crystal superalloy at 900 °C. Materials Characterization, 185. https://doi.org/10.1016/j.matchar.2022.111720",900,50,81.1,,,80.9,0,7.3,0,7.6,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-10.Al-9.0W-1.00C,Co–10Al–9W–1C,"Kamali, H., Field, R. D., Clarke, A. J., Nedjad, S. H., & Kaufman, M. J. (2021). Development of the ?? Stability in Co–Al–W Alloys at 800 °C by Alloying with Carbon. Metallurgical and Materials Transactions A: Physical Metallurgy and Materials Science, 52(12), 5314–5328. https://doi.org/10.1007/s11661-021-06470-8",800,64,78,,,80,0,10,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-7.Al-5.0W-1.00C,Co–7Al–5W–1C,"Kamali, H., Field, R. D., Clarke, A. J., Nedjad, S. H., & Kaufman, M. J. (2021). Development of the ?? Stability in Co–Al–W Alloys at 800 °C by Alloying with Carbon. Metallurgical and Materials Transactions A: Physical Metallurgy and Materials Science, 52(12), 5314–5328. https://doi.org/10.1007/s11661-021-06470-8",800,64,29,,,87,0,7,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-7.Al-5.0W,Co–7Al–5W,"Kamali, H., Field, R. D., Clarke, A. J., Nedjad, S. H., & Kaufman, M. J. (2021). Development of the ?? Stability in Co–Al–W Alloys at 800 °C by Alloying with Carbon. Metallurgical and Materials Transactions A: Physical Metallurgy and Materials Science, 52(12), 5314–5328. https://doi.org/10.1007/s11661-021-06470-8",800,64,16,,,88,0,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Co-30.1Ni-7.4Al-14.1Cr-2.0W-4.1Ti-1.0Ta-1.0Mo-0.02C-0.15B,alloy1Li,"Li, H., Zhuang, X., Lu, S., Antonov, S., Li, L., & Feng, Q. (2022). Hot deformation behavior and flow stress modeling of a novel CoNi-based wrought superalloy. Journal of Alloys and Compounds, 894. https://doi.org/10.1016/j.jallcom.2021.162489",1070,4,35.4,,,40.18,30.08,7.4,14.09,2,4.06,1,0,0,1.02,0.02,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0
